id.S	__typename.S	countOutside.N	createdAt.S	distance.N	distance_left_button_point.N	distance_questionary_point.N	distance_right_button_point.N	dt.N	element.S	epoch.N	height.N	isMouseDetected.BOOL	isPositionOutside.BOOL	isTouchDetected.BOOL	questionID.S	questionaryInteractionID.S	speed.N	speedAverage.N	sumDistance.N	sumTimeMiliseconds.N	sumTimeMilisecondsBeforeNextQuestion.N	type.S	updatedAt.S	width.N	x.N	y.N
2b0692c7-1d1e-477a-8dc4-3ea43bb4419a	Interaction	0	2020-12-10T13:41:20.122Z	0	203.94361965994426	525.9600745303773	340.57745080965066	5	questionary	1607607671367	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:20.122Z	0	147	505
dd35994f-181e-4abd-bf26-0a1a06f55d62	Interaction	0	2020-12-10T13:41:11.682Z	0	203.94361965994426	211.74040710265956	340.57745080965066	3	questionary	1607607671379	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	14	14	position	2020-12-10T13:41:11.682Z	400	147	505
06621d13-2d19-4a58-8454-bb4363d6b261	Interaction	0	2020-12-10T13:41:19.586Z	0	211.0781845667619	531.5947704784162	346.63237009835075	3	questionary	1607607679175	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00017242520527607145	8.06225774829855	7810	7793	position	2020-12-10T13:41:19.586Z	0	143	512
c5e622af-4bee-458f-962d-bb4315e0f737	Interaction	0	2020-12-10T13:41:20.282Z	0	211.0781845667619	219.52904135899652	346.63237009835075	3	questionary	1607607679192	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.0001149501368507143	8.06225774829855	7827	7810	position	2020-12-10T13:41:20.282Z	400	143	512
0264445e-d146-44e6-ac16-f724be052d6d	Interaction	0	2020-12-10T13:41:22.150Z	0	257.9379770409933	551.2866767844113	391.44859177163994	4	questionary	1607607680980	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.14088021900795644	415.7037619961253	9614	959	position	2020-12-10T13:41:22.150Z	0	106	541
00152c52-a3dc-486e-9408-c2edc855b9bd	Interaction	0	2020-12-10T13:41:20.128Z	0	211.0781845667619	531.5947704784162	346.63237009835075	3	questionary	1607607679175	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00017242520527607145	8.06225774829855	7810	7793	position	2020-12-10T13:41:20.128Z	0	143	512
3f5e6092-7c69-4557-b9b2-c800552a733a	Interaction	0	2020-12-10T13:41:21.169Z	0	257.9379770409933	551.2866767844113	391.44859177163994	4	questionary	1607607680980	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.14088021900795644	415.7037619961253	9614	959	position	2020-12-10T13:41:21.169Z	0	106	541
28d133b9-87b8-4b7b-b33e-60699cf1cb44	Interaction	0	2020-12-10T13:41:22.141Z	0	211.0781845667619	219.52904135899652	346.63237009835075	9	questionary	1607607679189	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.0001293189039570536	8.06225774829855	7818	7801	position	2020-12-10T13:41:22.141Z	400	143	512
587b6dc4-c1f0-4e14-8f0f-3471b849ea3d	Interaction	0	2020-12-10T13:41:21.110Z	0	203.94361965994426	211.74040710265956	340.57745080965066	0	questionary	1607607671362	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:21.110Z	400	147	505
9564b090-bb76-4b54-92cd-e21b2b2b4c10	Interaction	0	2020-12-10T13:41:20.284Z	0	124.00403219250575	251.0019920239678	195.38935487891862	7	questionary	1607607680017	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.14507144152175763	201.7668554091598	8648	818	position	2020-12-10T13:41:20.284Z	400	319	521
50e80d47-b385-42da-8d2a-b8fb2442e26e	Interaction	0	2020-12-10T13:41:21.151Z	0	124.00403219250575	251.0019920239678	195.38935487891862	7	questionary	1607607680017	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.14507144152175763	201.7668554091598	8648	818	position	2020-12-10T13:41:21.151Z	400	319	521
f9651282-e640-4668-a6b3-0a86d49ef860	Interaction	0	2020-12-10T13:41:20.271Z	0	211.0781845667619	219.52904135899652	346.63237009835075	9	questionary	1607607679189	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.0001293189039570536	8.06225774829855	7818	7801	position	2020-12-10T13:41:20.271Z	400	143	512
3f30057c-7344-4292-a8c8-3c6f9b3d508b	Interaction	0	2020-12-10T13:41:19.570Z	0	203.94361965994426	211.74040710265956	340.57745080965066	4	questionary	1607607671376	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	10	10	position	2020-12-10T13:41:19.570Z	400	147	505
